"x" "y"
"1" 0 54.5483856445976
"2" 0.1 49.8046148609539
"3" 0.2 46.7430858411982
"4" 0.3 47.6171790212154
"5" 0.4 51.6141579583372
"6" 0.5 50.748031445252
"7" 0.6 52.3705679690811
"8" 0.7 46.1391702233147
"9" 0.8 52.1115077232141
"10" 0.9 48.4103159614758
"11" 1 50.6542107918856
"12" 1.1 44.3339093735317
"13" 1.2 51.7677888662178
"14" 1.3 51.0208219122219
"15" 1.4 48.3389806647373
"16" 1.5 50.1101457710999
"17" 1.6 49.1911098411745
"18" 1.7 47.9256571422991
"19" 1.8 49.3455313510773
"20" 1.9 50.6323639079715
"21" 2 50.5948489969584
"22" 2.1 47.2129752177051
"23" 2.2 50.2550785743516
"24" 2.3 49.291720371649
"25" 2.4 49.9933211297377
"26" 2.5 50.270137953129
"27" 2.6 55.0566979666341
"28" 2.7 55.4956244074145
"29" 2.8 47.7709319967647
"30" 2.9 47.3209045252216
"31" 3 46.5519042239341
"32" 3.1 50.2530340530263
"33" 3.2 46.4316069626224
"34" 3.3 51.2126941149802
"35" 3.4 53.0350471987976
"36" 3.5 50.2996706082452
"37" 3.6 49.9207324049697
"38" 3.7 50.7658157603663
"39" 3.8 49.1588558265008
"40" 3.9 47.9057838606938
"41" 4 47.5557920614645
"42" 4.1 49.7073491237585
"43" 4.2 47.0440654077196
"44" 4.3 49.9997405553142
"45" 4.4 48.7862107420971
"46" 4.5 50.5668765638661
"47" 4.6 51.6921177379127
"48" 4.7 48.115691310641
"49" 4.8 50.1394460516475
"50" 4.9 45.2115993518028
"51" 5 48.0985003200014
"52" 5.1 49.0287827516132
"53" 5.2 46.4537926416783
"54" 5.3 46.8025028629308
"55" 5.4 47.9887774420368
"56" 5.5 52.6078082941073
"57" 5.6 50.6092499973529
"58" 5.7 51.5900846518001
"59" 5.8 48.1949614927062
"60" 5.9 52.0848913561336
"61" 6 48.5040227038683
"62" 6.1 52.3707870516313
"63" 6.2 50.6884390324305
"64" 6.3 48.4410854673078
"65" 6.4 52.713203223828
"66" 6.5 50.4166567703541
"67" 6.6 45.5673600481288
"68" 6.7 50.2609747134489
"69" 6.8 52.6165600111098
"70" 6.9 51.0994179393506
"71" 7 52.3721910554336
"72" 7.1 53.8034591621514
"73" 7.2 50.3720465503861
"74" 7.3 53.0621609419859
"75" 7.4 48.714100125304
"76" 7.5 48.8524351282844
"77" 7.6 52.5808789339806
"78" 7.7 49.0789577949663
"79" 7.8 51.6468023305991
"80" 7.9 49.4683640844475
"81" 8 47.4356914140349
"82" 8.1 50.1080429151221
"83" 8.2 47.3764837619409
"84" 8.3 51.5076810700439
"85" 8.4 48.2834608165192
"86" 8.5 48.1538319658213
"87" 8.6 52.6490052235231
"88" 8.7 52.1105865367694
"89" 8.8 50.0352102568544
"90" 8.9 49.8607075491452
"91" 9 48.7629300182792
"92" 9.1 51.5071818314174
"93" 9.2 50.6559435403661
"94" 9.3 53.222191872555
"95" 9.4 47.6703151666188
"96" 9.5 49.9790758208815
"97" 9.6 49.5252148688581
"98" 9.7 52.0088924162303
"99" 9.8 50.8805127180604
"100" 9.9 47.7678682655569
"101" 10 46.880135632206
"102" 10.1 50.2746917130812
"103" 10.2 52.7220970700591
"104" 10.3 50.1716760011424
"105" 10.4 52.5399487984562
"106" 10.5 52.3493248597928
"107" 10.6 53.0688870785092
"108" 10.7 49.055453543371
"109" 10.8 48.5599526284553
"110" 10.9 48.1784241936125
"111" 11 47.0687653774783
"112" 11.1 47.5352414764475
"113" 11.2 53.0807676347996
"114" 11.3 50.1336582485377
"115" 11.4 54.3400270162274
"116" 11.5 53.3090232628619
"117" 11.6 50.2992342410417
"118" 11.7 48.1545349323041
"119" 11.8 50.447754840278
"120" 11.9 54.841465906878
"121" 12 51.3899424890772
"122" 12.1 50.5164415679959
"123" 12.2 52.0407116972668
"124" 12.3 52.4590529225023
"125" 12.4 53.8463167315625
"126" 12.5 52.682948104356
"127" 12.6 52.765410296684
"128" 12.7 55.369966206302
"129" 12.8 52.0979448178852
"130" 12.9 56.9472965811462
"131" 13 56.1816633770792
"132" 13.1 58.2150255970383
"133" 13.2 59.7035923151543
"134" 13.3 56.6698700607955
"135" 13.4 59.073625004968
"136" 13.5 57.2975619519599
"137" 13.6 60.203714009904
"138" 13.7 57.3843500103808
"139" 13.8 53.6960381385786
"140" 13.9 61.0262479360303
"141" 14 62.0915209233373
"142" 14.1 59.2445532361836
"143" 14.2 60.531662165277
"144" 14.3 64.8877556448909
"145" 14.4 61.8911733579074
"146" 14.5 62.448140244929
"147" 14.6 61.9606118997209
"148" 14.7 63.4237154855585
"149" 14.8 68.0982724890656
"150" 14.9 68.6090291364952
"151" 15 67.4425752835229
"152" 15.1 65.1412481155745
"153" 15.2 69.0982977856329
"154" 15.3 69.3227831707586
"155" 15.4 74.1347743652035
"156" 15.5 72.0350646327368
"157" 15.6 73.1357454782746
"158" 15.7 77.3512902593765
"159" 15.8 77.513358621581
"160" 15.9 77.98499961876
"161" 16 78.6035154530628
"162" 16.1 80.0711552470657
"163" 16.2 80.5618603301615
"164" 16.3 80.3848755248759
"165" 16.4 81.7492800870761
"166" 16.5 84.7710356305835
"167" 16.6 83.8914663017249
"168" 16.7 83.7332631894767
"169" 16.8 89.8823794547516
"170" 16.9 89.8235729333856
"171" 17 89.8402927841205
"172" 17.1 91.6815548776557
"173" 17.2 94.5437893921876
"174" 17.3 98.41133391219
"175" 17.4 91.1570594400868
"176" 17.5 98.6184493963487
"177" 17.6 100.5788615463
"178" 17.7 97.177874521933
"179" 17.8 99.4738473718345
"180" 17.9 103.809683054223
"181" 18 100.423162081734
"182" 18.1 106.469450305569
"183" 18.2 107.196483165568
"184" 18.3 108.638204148308
"185" 18.4 113.277392824488
"186" 18.5 110.249391869181
"187" 18.6 113.124167153485
"188" 18.7 116.757371862689
"189" 18.8 114.498990436022
"190" 18.9 117.352848557179
"191" 19 119.884175519377
"192" 19.1 120.245193615017
"193" 19.2 123.061294804381
"194" 19.3 131.516531832025
"195" 19.4 124.667791956063
"196" 19.5 130.990216500217
"197" 19.6 132.792595130046
"198" 19.7 137.022363725263
"199" 19.8 133.258303957147
"200" 19.9 134.877052306752
"201" 20 136.577399236139
"202" 20.1 137.126736552044
"203" 20.2 137.796201579804
"204" 20.3 140.463851488843
"205" 20.4 143.457007514811
"206" 20.5 149.021977631477
"207" 20.6 146.237975273169
"208" 20.7 146.927166713573
"209" 20.8 152.923498385182
"210" 20.9 151.726356714185
"211" 21 153.520495790043
"212" 21.1 157.836993377837
"213" 21.2 157.875263885831
"214" 21.3 160.252220031058
"215" 21.4 161.99806606003
"216" 21.5 167.610244735785
"217" 21.6 166.093089238173
"218" 21.7 166.711613924823
"219" 21.8 171.45640675939
"220" 21.9 171.280023509677
"221" 22 174.08898240389
"222" 22.1 175.255976346784
"223" 22.2 176.932116091921
"224" 22.3 179.798816351008
"225" 22.4 182.966207264387
"226" 22.5 184.577721642759
"227" 22.6 185.477403137909
"228" 22.7 186.478147284611
"229" 22.8 187.272149489619
"230" 22.9 194.329478468406
"231" 23 191.871932915089
"232" 23.1 189.772596188057
"233" 23.2 197.193462011887
"234" 23.3 196.248485990103
"235" 23.4 198.459052989933
"236" 23.5 204.799012640576
"237" 23.6 198.207422657963
"238" 23.7 209.604639525122
"239" 23.8 207.957039526287
"240" 23.9 210.936706462888
"241" 24 213.783692439764
"242" 24.1 213.230973759409
"243" 24.2 216.440726199311
"244" 24.3 218.021592319986
"245" 24.4 215.439429626013
"246" 24.5 218.588517256394
"247" 24.6 222.222849558168
"248" 24.7 223.395384582381
"249" 24.8 226.5254691542
"250" 24.9 230.956457867707
"251" 25 232.038428241256
"252" 25.1 232.334239549563
"253" 25.2 236.764672264745
"254" 25.3 234.205468990646
"255" 25.4 235.733943028194
"256" 25.5 243.172864938107
"257" 25.6 241.867912674458
"258" 25.7 244.691052460476
"259" 25.8 244.568441592678
"260" 25.9 246.251780860984
"261" 26 250.931653889506
"262" 26.1 250.457123313029
"263" 26.2 254.502116537619
"264" 26.3 256.13811826714
"265" 26.4 255.288936538936
"266" 26.5 260.552089168953
"267" 26.6 259.77300648317
"268" 26.7 261.001274642912
"269" 26.8 266.936898220274
"270" 26.9 268.776055776998
"271" 27 266.862824529464
"272" 27.1 275.012467517249
"273" 27.2 275.762693472968
"274" 27.3 274.397599423129
"275" 27.4 276.713277233043
"276" 27.5 275.358492926292
"277" 27.6 280.896524473038
"278" 27.7 277.186577729424
"279" 27.8 285.421117055499
"280" 27.9 284.6649595956
"281" 28 291.424401631788
"282" 28.1 288.781366359312
"283" 28.2 292.274841380554
"284" 28.3 291.794848816478
"285" 28.4 297.063875807988
"286" 28.5 295.078916535032
"287" 28.6 298.424884828078
"288" 28.7 299.870377127987
"289" 28.8 303.912486991987
"290" 28.9 308.195435745096
"291" 29 305.215109278371
"292" 29.1 308.472854719729
"293" 29.2 313.073243414989
"294" 29.3 307.611061891329
"295" 29.4 311.02690707998
"296" 29.5 314.708677302891
"297" 29.6 315.090425984967
"298" 29.7 315.658751489636
"299" 29.8 318.234515068918
"300" 29.9 321.583122043593
"301" 30 322.517712035266
"302" 30.1 325.249301602815
"303" 30.2 324.943309668004
"304" 30.3 326.049954501362
"305" 30.4 327.95650144218
"306" 30.5 331.457026486209
"307" 30.6 332.339908606793
"308" 30.7 335.066064794465
"309" 30.8 334.259325356923
"310" 30.9 334.607784586691
"311" 31 340.731538750169
"312" 31.1 339.160508418677
"313" 31.2 337.504274994126
"314" 31.3 342.952300254767
"315" 31.4 343.06271451553
"316" 31.5 347.272244436398
"317" 31.6 345.442578215593
"318" 31.7 349.53963220511
"319" 31.8 352.512651160212
"320" 31.9 353.716928332389
"321" 32 349.487487083452
"322" 32.1 358.300499174693
"323" 32.2 359.085426628769
"324" 32.3 360.428457989338
"325" 32.4 362.544113983137
"326" 32.5 366.046311330162
"327" 32.6 363.802082798107
"328" 32.7 363.946740743958
"329" 32.8 366.387663785498
"330" 32.9 370.67276463264
"331" 33 367.350194382327
"332" 33.1 368.262690413766
"333" 33.2 372.33152954938
"334" 33.3 373.724981585764
"335" 33.4 373.011550443211
"336" 33.5 377.982925757245
"337" 33.6 375.88386337409
"338" 33.7 376.980125431229
"339" 33.8 377.548825189712
"340" 33.9 380.452074951614
"341" 34 380.458518231099
"342" 34.1 385.150507512708
"343" 34.2 386.801328278075
"344" 34.3 386.232120676052
"345" 34.4 387.15253136365
"346" 34.5 389.998437867806
"347" 34.6 388.828708202522
"348" 34.7 390.572748710517
"349" 34.8 392.37031374969
"350" 34.9 393.503142027195
"351" 35 399.296281220685
"352" 35.1 396.146233076275
"353" 35.2 401.994508961749
"354" 35.3 396.596753216249
"355" 35.4 400.635993721419
"356" 35.5 400.682147881081
